"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"usmap","usmap","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.7.1",NA,"R (>= 3.5.0)","rlang, usmapdata (>= 0.2.2)",NA,"covr, ggplot2 (>= 3.5.0), ggrepel, knitr, proto, rmarkdown,
scales, sf, spelling, testthat (>= 3.0.0), vdiffr",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.4.0"
"usmapdata","usmapdata","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.3.0",NA,"R (>= 3.5.0)","rlang, sf",NA,"covr, dplyr, spelling, testthat (>= 3.0.0)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.4.0"
"utf8","utf8","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.2.4",NA,"R (>= 2.10)",NA,NA,"cli, covr, knitr, rlang, rmarkdown, testthat (>= 3.0.0),
withr",NA,"Apache License (== 2.0) | file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"utils","utils","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","4.4.1","base",NA,NA,NA,"methods, xml2, commonmark, knitr, jsonlite",NA,"Part of R 4.4.1",NA,NA,NA,NA,"yes","4.4.1"
"uuid","uuid","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.2-1",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"V8","V8","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","5.0.0",NA,NA,"Rcpp (>= 0.12.12), jsonlite (>= 1.0), curl (>= 1.0), utils","Rcpp","testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"vcd","vcd","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.4-12",NA,"R (>= 2.4.0), grid","stats, utils, MASS, grDevices, colorspace, lmtest",NA,"KernSmooth, mvtnorm, kernlab, HSAUR3, coin",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
"vctrs","vctrs","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.6.5",NA,"R (>= 3.5.0)","cli (>= 3.4.0), glue, lifecycle (>= 1.0.3), rlang (>= 1.1.0)",NA,"bit64, covr, crayon, dplyr (>= 0.8.5), generics, knitr,
pillar (>= 1.4.4), pkgdown (>= 2.0.1), rmarkdown, testthat (>=
3.0.0), tibble (>= 3.1.3), waldo (>= 0.2.0), withr, xml2,
zeallot",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"VIM","VIM","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","6.2.2",NA,"R (>= 3.5.0),colorspace,grid","car, grDevices, magrittr, robustbase, stats, sp,
vcd,MASS,nnet,e1071,methods,Rcpp,utils,graphics,laeken,ranger,
data.table(>= 1.9.4)","Rcpp","dplyr, tinytest, knitr, rmarkdown, reactable, covr, withr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"viridis","viridis","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.6.5",NA,"R (>= 2.10), viridisLite (>= 0.4.0)","ggplot2 (>= 1.0.1), gridExtra",NA,"hexbin (>= 1.27.0), scales, MASS, knitr, dichromat,
colorspace, httr, mapproj, vdiffr, svglite (>= 1.2.0),
testthat, covr, rmarkdown, maps, terra",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"viridisLite","viridisLite","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.4.2",NA,"R (>= 2.10)",NA,NA,"hexbin (>= 1.27.0), ggplot2 (>= 1.0.1), testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"visdat","visdat","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.6.0",NA,"R (>= 3.2.2)","ggplot2, tidyr, dplyr, purrr, readr, magrittr, stats, tibble,
glue, forcats, cli, scales",NA,"testthat (>= 3.0.0), plotly (>= 4.5.6), knitr, rmarkdown,
vdiffr, spelling, covr, stringr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"vroom","vroom","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.6.5",NA,"R (>= 3.6)","bit64, cli (>= 3.2.0), crayon, glue, hms, lifecycle (>=
1.0.3), methods, rlang (>= 0.4.2), stats, tibble (>= 2.0.0),
tidyselect, tzdb (>= 0.1.1), vctrs (>= 0.2.0), withr","cpp11 (>= 0.2.0), progress (>= 1.2.1), tzdb (>= 0.1.1)","archive, bench (>= 1.1.0), covr, curl, dplyr, forcats, fs,
ggplot2, knitr, patchwork, prettyunits, purrr, rmarkdown,
rstudioapi, scales, spelling, testthat (>= 2.1.0), tidyr,
utils, waldo, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"vtable","vtable","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.4.6",NA,"kableExtra","utils, stats, rstudioapi, sjlabelled, haven, knitr",NA,"rmarkdown, survey",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"waldo","waldo","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.5.3",NA,"R (>= 3.6)","cli, diffobj (>= 0.3.4), glue, methods, rematch2, rlang (>=
1.0.0), tibble",NA,"covr, R6, testthat (>= 3.0.0), withr, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"WDI","WDI","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.7.8",NA,"R (>= 3.5.0)","jsonlite",NA,"curl, testthat, tidyr (>= 0.8.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"webshot","webshot","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.5.5",NA,"R (>= 3.0)","magrittr, jsonlite, callr",NA,"httpuv, knitr, rmarkdown, shiny, testthat (>= 3.0.0)",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
"webshot2","webshot2","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.1.1",NA,"R (>= 3.2)","callr, chromote (>= 0.1.0), later, magrittr, promises",NA,"httpuv, rmarkdown, shiny",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
"websocket","websocket","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.4.2",NA,NA,"R6, later (>= 1.2.0)","cpp11, AsioHeaders, later","httpuv, testthat, knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.0"
"whisker","whisker","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.4.1",NA,NA,NA,NA,"markdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"whoami","whoami","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.3.0",NA,NA,"httr, jsonlite, utils",NA,"covr, mockery, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"withr","withr","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.0.1",NA,"R (>= 3.6.0)","graphics, grDevices",NA,"callr, DBI, knitr, methods, rlang, rmarkdown (>= 2.12),
RSQLite, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"wk","wk","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.9.3",NA,"R (>= 2.10)",NA,NA,"testthat (>= 3.0.0), vctrs (>= 0.3.0), sf, tibble, readr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"wordcloud","wordcloud","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.6",NA,"methods, RColorBrewer","Rcpp (>= 0.9.4)","Rcpp","tm (>= 0.6), slam",NA,"LGPL-2.1",NA,NA,NA,NA,"yes","4.4.0"
"writexl","writexl","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.5.0",NA,NA,NA,NA,"spelling, readxl, nycflights13, testthat, bit64",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"x13binary","x13binary","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.1.61",NA,NA,NA,NA,NA,NA,"file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"xfun","xfun","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.47",NA,"R (>= 3.2.0)","grDevices, stats, tools",NA,"testit, parallel, codetools, methods, rstudioapi, tinytex (>=
0.30), mime, markdown (>= 1.5), knitr (>= 1.47), htmltools,
remotes, pak, rhub, renv, curl, xml2, jsonlite, magick, yaml,
qs, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"XML","XML","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.99-0.17",NA,"R (>= 4.0.0), methods, utils",NA,NA,"bitops, RCurl",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"xml2","xml2","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.3.6",NA,"R (>= 3.6.0)","cli, methods, rlang (>= 1.1.0)",NA,"covr, curl, httr, knitr, magrittr, mockery, rmarkdown,
testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"xopen","xopen","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.0.1",NA,"R (>= 3.1)","processx",NA,"ps, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"xSub","xSub","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","3.0.2",NA,"R (>= 3.3.2)","countrycode, haven, RCurl",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.4.0"
"xtable","xtable","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.8-4",NA,"R (>= 2.10.0)","stats, utils",NA,"knitr, plm, zoo, survival",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"xts","xts","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.14.0",NA,"R (>= 3.6.0), zoo (>= 1.7-12)","methods","zoo","timeSeries, timeDate, tseries, chron, tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"yaml","yaml","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.3.10",NA,NA,NA,NA,"RUnit",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"zip","zip","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2.3.1",NA,NA,NA,NA,"covr, processx, R6, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"zoo","zoo","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.8-12",NA,"R (>= 3.1.0), stats","utils, graphics, grDevices, lattice (>= 0.20-27)",NA,"AER, coda, chron, ggplot2 (>= 3.0.0), mondate, scales,
stinepack, strucchange, timeDate, timeSeries, tis, tseries, xts",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.0"
